variable,question,coding,unit
description,"Describe the behavioral outcome in a few words. 

Look at the background tab for tips on which behavior can correspond to which number; feel free to improve the wording here.

Author's words: If the authors have a clear, short description of each behavior in the paper itself, copy their words here instead of paraphrasing. If their description is not clear enough on its own, or is very verbose, please paraphrase here.",Free text,behavior
priority,"Is the behavioral outcome labeled as primary, secondary, or given no label by the authors?

If there is no label, but there is only one or a handful of behaviors, typically these are considered primary. 

(By definition of our inclusion criteria, it should not be labeled exploratory.)",primary/secondary/none,behavior
focal,"Select the ONE behavior that is focal for the authors. It should be a primary outcome.

if you're not sure, read the abstract and discussion of the paper. Which variable to the authors highlight most? 

If that is still unclear, which variable is closest to the real world action that the authors care about?",focal/not,behavior
focal_estimate,"If you had to estimate which behavior was focal (i.e., it wasn't clear from the authors) indicate ""estimate"" below. 

If the authors were clear as to which behavior was focal, then indicate ""exact"" below.","Exact, Estimate",behavior
metric,"Is the each behavioral variable categorical/binary or continuous/discrete?

Categorical would be measured as a percentage (e.g., % of people who did X) while continuous would be something like a count or a numeric value (e.g., dollars spent or time spent).",categorical/continuous,behavior
selfreport,"Is the behavior captured by self-reported data by the participants? 

(This is in contrast to data that is more objectively measured by their choices, decisions, or behaviors -- as captured by the research process.)",Y/N,behavior
hypothesis_gist,"In your own words, what is the hypothesis with respect to this behavior in particular? 

This may be the same or similar to the overall hypothesis. When there are multiple behaviors measured, this may differ.",Free text,behavior
hypothesis_authors,"Please copy a segment of the text that contains the hypothesis with respect to this behavior in particular, per the original source. 

If you want to take two quoted segments, just link them with an ellipsis (...). 

If you cannot find a relevant hypothesis, research question, or claim, write NA.

Focus especially on the focal behavior here.
",Quotation,behavior
direction,Look at the hypothesis. In which direction does the author hypothesize that this behavior will go? Up or down?,"Up, Down, Unclear",behavior
frequency,"Does doing the behavior well mean doing it regularly? And if yes, at what cadence?","No; Yes, annually; Yes, monthly; Yes, weekly; Yes, daily; Yes, occasionally (undefined)",behavior
financial_reqt,"Within the context of the experiment, doing the behavior successfully requires paying some financial cost.","Yes, No, Unclear",behavior
travel_reqt,"Within the context of the experiment, doing the behavior successfully requires traveling from one location to another.","Yes, No, Unclear",behavior
planning_reqt,"Within the context of the experiment, doing the behavior successfully requires advance planning or preparation.","Yes, No, Unclear",behavior
location_reqt,"Within the context of the experiment, the behavior must be completed at a specific physical location.","Yes, No, Unclear",behavior
