Paper_Exp_ID,Condition,Variable,Human Answer,GPT Answer,GPT Cost,Model
A_55,BAU letter,condition_financial,N,N,0.06849,gpt-4
A_55,BAU letter,condition_educational,N,N,0.04371,gpt-4
A_55,BAU letter,condition_forbid,N,N,0.0471299999999999,gpt-4
A_55,BAU letter,condition_channel_snailmail,Y,N,0.0402299999999999,gpt-4
A_55,BAU letter,condition_channel_email,N,Y,0.03222,gpt-4
A_55,BAU letter,condition_channel_paperlive,N,N,0.0325499999999999,gpt-4
A_55,BAU letter,condition_channel_inperson,N,N,0.0476099999999999,gpt-4
A_55,BAU letter,condition_channel_mobileapp,N,N,0.04584,gpt-4
A_55,BAU letter,condition_channel_online,N,Y,0.04287,gpt-4
A_55,BAU letter,condition_channel_sms,N,N,0.0440399999999999,gpt-4
A_55,BAU letter,condition_channel_phone,N,N,0.0322499999999999,gpt-4
A_55,BAU letter,condition_channel_nothing,N,No,0.0496199999999999,gpt-4
A_55,No letter,condition_financial,N,N,0.06846,gpt-4
A_55,No letter,condition_educational,N,N,0.04368,gpt-4
A_55,No letter,condition_forbid,N,N,0.0470999999999999,gpt-4
A_55,No letter,condition_channel_snailmail,N,N,0.0402,gpt-4
A_55,No letter,condition_channel_email,N,Y,0.0321899999999999,gpt-4
A_55,No letter,condition_channel_paperlive,N,N,0.03252,gpt-4
A_55,No letter,condition_channel_inperson,N,N,0.04758,gpt-4
A_55,No letter,condition_channel_mobileapp,N,N,0.04104,gpt-4
A_55,No letter,condition_channel_online,N,Y,0.0428399999999999,gpt-4
A_55,No letter,condition_channel_sms,N,N,0.04401,gpt-4
A_55,No letter,condition_channel_phone,N,N,0.03222,gpt-4
A_55,No letter,condition_channel_nothing,Y,N,0.0495899999999999,gpt-4
A_55,Welcome letter,condition_financial,N,N,0.06846,gpt-4
A_55,Welcome letter,condition_educational,N,N,0.04368,gpt-4
A_55,Welcome letter,condition_forbid,N,N,0.0470999999999999,gpt-4
A_55,Welcome letter,condition_channel_snailmail,Y,N,0.0402,gpt-4
A_55,Welcome letter,condition_channel_email,N,Y,0.0321899999999999,gpt-4
A_55,Welcome letter,condition_channel_paperlive,N,N,0.03252,gpt-4
A_55,Welcome letter,condition_channel_inperson,N,N,0.04758,gpt-4
A_55,Welcome letter,condition_channel_mobileapp,N,N,0.04581,gpt-4
A_55,Welcome letter,condition_channel_online,N,Y,0.0428399999999999,gpt-4
A_55,Welcome letter,condition_channel_sms,N,N,0.04401,gpt-4
A_55,Welcome letter,condition_channel_phone,N,N,0.03222,gpt-4
A_55,Welcome letter,condition_channel_nothing,N,No,0.0495899999999999,gpt-4
A_62,control,condition_financial,N,N,0.06843,gpt-4
A_62,control,condition_educational,N,N,0.04365,gpt-4
A_62,control,condition_forbid,N,N,0.0470699999999999,gpt-4
A_62,control,condition_channel_snailmail,N,The text does not provide information on the delivery mechanism of the condition.,0.0315299999999999,gpt-4
A_62,control,condition_channel_email,Y,Y,0.03216,gpt-4
A_62,control,condition_channel_paperlive,N,N,0.03192,gpt-4
A_62,control,condition_channel_inperson,N,N,0.0475499999999999,gpt-4
A_62,control,condition_channel_mobileapp,N,N,0.04101,gpt-4
A_62,control,condition_channel_online,N,Y,0.0428099999999999,gpt-4
A_62,control,condition_channel_sms,N,N,0.04398,gpt-4
A_62,control,condition_channel_phone,N,No,0.0321899999999999,gpt-4
A_62,control,condition_channel_nothing,N,N,0.0495599999999999,gpt-4
A_62,social norm,condition_financial,N,N,0.06846,gpt-4
