,Paper_Exp_ID,Behavior,Variable,Human Answer,GPT Answer,GPT Cost
0,A_55,change in address,behavior_priority,secondary,none,0.05576999999999999
1,A_55,change in address,behavior_focal,not,Vaccination uptake/focal,0.04512
2,A_55,change in address,behavior_focal_estimate,Exact,Estimate,0.04503
3,A_55,change in address,behavior_metric,categorical,"The text does not provide information on the variable ""change in address.""",0.04767
4,A_55,change in address,behavior_selfreport,N,N,0.04305
5,A_55,change in address,financial_reqt,No,No,0.03591
6,A_55,change in address,travel_reqt,No,No,0.02766
7,A_55,change in address,planning_reqt,No,No,0.04116
8,A_55,change in address,location_reqt,No,No,0.02904
9,A_55,change in address,timing_reqt,No,No,0.06227999999999999
10,A_55,change in address,prosociality,No,Unclear,0.03978
11,A_55,change in address,delay,Unclear,Yes,0.03933
12,A_55,change in address,authority,No,Unclear,0.023459999999999998
13,A_55,lodgment,behavior_priority,primary,none,0.05574
14,A_55,lodgment,behavior_focal,focal,Behavior 1/focal,0.04503
15,A_55,lodgment,behavior_focal_estimate,Exact,Exact,0.044939999999999994
16,A_55,lodgment,behavior_metric,categorical,The text does not provide information on a behavioral outcome named lodgment.,0.04764
17,A_55,lodgment,behavior_selfreport,N,N,0.043019999999999996
18,A_55,lodgment,financial_reqt,Yes,No,0.035879999999999995
19,A_55,lodgment,travel_reqt,No,No,0.027630000000000002
20,A_55,lodgment,planning_reqt,Yes,No,0.04223999999999999
21,A_55,lodgment,location_reqt,No,Unclear,0.029069999999999995
22,A_55,lodgment,timing_reqt,Yes,Yes,0.06224999999999999
23,A_55,lodgment,prosociality,Yes,Unclear,0.03975
24,A_55,lodgment,delay,Unclear,Unclear,0.03936
25,A_55,lodgment,authority,Yes,Unclear,0.02343
26,A_55,myGov registration,behavior_priority,secondary,none,0.05576999999999999
27,A_55,myGov registration,behavior_focal,not,Vaccination uptake/focal,0.04512
28,A_55,myGov registration,behavior_focal_estimate,Exact,Estimate,0.04503
29,A_55,myGov registration,behavior_metric,categorical,categorical,0.04692
30,A_55,myGov registration,behavior_selfreport,N,N,0.04305
31,A_55,myGov registration,financial_reqt,No,Unclear,0.03597
32,A_55,myGov registration,travel_reqt,No,No,0.02766
33,A_55,myGov registration,planning_reqt,Unclear,No,0.042269999999999995
34,A_55,myGov registration,location_reqt,No,Unclear,0.029099999999999997
35,A_55,myGov registration,timing_reqt,No,No,0.06227999999999999
36,A_55,myGov registration,prosociality,No,Unclear,0.04671
37,A_55,myGov registration,delay,Unclear,Unclear,0.03939
38,A_55,myGov registration,authority,No,Unclear,0.023459999999999998
39,A_55,number of days to lodgement,behavior_priority,secondary,none,0.05586
40,A_55,number of days to lodgement,behavior_focal,not,Vaccination uptake/focal,0.04521
41,A_55,number of days to lodgement,behavior_focal_estimate,Exact,Estimate,0.04512
42,A_55,number of days to lodgement,behavior_metric,continuous,continuous,0.04694999999999999
43,A_55,number of days to lodgement,behavior_selfreport,N,N,0.04313999999999999
44,A_55,number of days to lodgement,financial_reqt,Yes,Unclear,0.03606
45,A_55,number of days to lodgement,travel_reqt,No,Unclear,0.027809999999999998
46,A_55,number of days to lodgement,planning_reqt,Yes,Unclear,0.04242
47,A_55,number of days to lodgement,location_reqt,No,Unclear,0.029189999999999997
48,A_55,number of days to lodgement,timing_reqt,Yes,Yes,0.062369999999999995
49,A_55,number of days to lodgement,prosociality,Yes,Unclear,0.03987
50,A_55,number of days to lodgement,delay,Unclear,Unclear,0.03948
51,A_55,number of days to lodgement,authority,Yes,Unclear,0.023549999999999998
52,A_55,number of inbound calls,behavior_priority,secondary,none,0.055799999999999995
53,A_55,number of inbound calls,behavior_focal,not,Behavior 1/focal,0.045090000000000005
54,A_55,number of inbound calls,behavior_focal_estimate,Exact,Estimate,0.04506
55,A_55,number of inbound calls,behavior_metric,continuous,continuous,0.046889999999999994
56,A_55,number of inbound calls,behavior_selfreport,N,N,0.04307999999999999
57,A_55,number of inbound calls,financial_reqt,No,Unclear,0.036
58,A_55,number of inbound calls,travel_reqt,No,No,0.027690000000000003
59,A_55,number of inbound calls,planning_reqt,No,Unclear,0.042359999999999995
60,A_55,number of inbound calls,location_reqt,No,No,0.02907
61,A_55,number of inbound calls,timing_reqt,No,No,0.06231
62,A_55,number of inbound calls,prosociality,No,Unclear,0.03981
63,A_55,number of inbound calls,delay,Unclear,Unclear,0.039420000000000004
64,A_55,number of inbound calls,authority,No,Unclear,0.023489999999999997
65,A_55,use of MyTax,behavior_priority,secondary,none,0.055799999999999995
66,A_55,use of MyTax,behavior_focal,not,Vaccination uptake/focal,0.04515
67,A_55,use of MyTax,behavior_focal_estimate,Exact,Estimate,0.04506
68,A_55,use of MyTax,behavior_metric,categorical,continuous,0.046889999999999994
69,A_55,use of MyTax,behavior_selfreport,N,N,0.04307999999999999
70,A_55,use of MyTax,financial_reqt,No,Unclear,0.036
71,A_55,use of MyTax,travel_reqt,No,No,0.027690000000000003
72,A_55,use of MyTax,planning_reqt,Yes,Unclear,0.042359999999999995
73,A_55,use of MyTax,location_reqt,No,No,0.02907
74,A_55,use of MyTax,timing_reqt,No,Yes,0.06231
