Number,Step,Dimension,Description,Scale,Type,Location
1, Search,title,Title of the publication as captured by the search engine,Free text,string,Pre-filled (R)
1, Search,authors,Authors of the publication as captured by the search engine,Free text,string,Pre-filled (R)
1, Search,abstract,Abstract of the publication as captured by the search engine,Free text,string,Pre-filled (R)
1, Search,journal,Journal of the publication as captured by the search engine,Free text,string,Pre-filled (R)
1, Search,year,Year of publication as captured by the search engine (2018-2022),Number,number,Pre-filled (R)
1, Search,doi,DOI as captured by the search engine; any empty DOIs filled out by the internal team,Free text,string,Pre-filled (R)
1, Search,title_nudge,"Is ""nudge"", ""nudging"", or ""choice architecture"" in the title? (It should be in the title or abstract per the search.)","[""Yes"", ""No""]",enum,Pre-filled (R)
1, Search,abstract_nudge,"Is ""nudge"", ""nudging"", or ""choice architecture"" in the abstract? (It should be in the title or abstract per the search.)","[""Yes"", ""No""]",enum,Pre-filled (R)
1, Search,neither_nudge,"Is ""nudge"", ""nudging"", or ""choice architecture"" neither in the title nor the abstract? If it isn't, we drop it.","[""Yes"", ""No""]",enum,Pre-filled (R)
1, Search,index_paper,Assign an index number to the remaining publications,Number,number,Pre-filled (R)
2, Practical,english_language,Is the publication written in English?,"[""Yes"", ""No""]",enum,Google sheet
2, Practical,author_email,"An email address for a corresponding author(s) must be available, so we can share our coded writeup files for review; if 2+ authors listed, include both separated by a comma; organization email sufficient.",Email,string,Google sheet
2, Practical,count_studies," # of discrete data collection opportunities (e.g., survey, experiment, etc.)",Number,number,Google sheet
2, Practical,count_experiments, # that are RCTs (experiments),Number,number,Google sheet
2, Practical,step2notes,"Any justifying notes, especially for any responses causing an experiment to be dropped.",Free text,string,Google sheet
3, Design,experiment_gist,"Write a few words about each experiment, just to keep track of multiple experiments per publication, i.e., if study 2 drops out but study 1 stays in, we want to be able to tell them apart when going back into the publication to extract information",Free text,string,Google sheet
3, Design,domain_WIP,"Pick one: consumer behavior, crime/criminal justice, development, education, energy, environment, health, labor, policymaking, privacy, prosocial, management (eg employee motivation), marketing (e.g., selling something), economics (e.g., econ games), other","[
    ""ConsumerBehavior"",
    ""EconomicGames"",
    ""Privacy/Security/Crime"",
    ""Development"",
    ""Environment/Energy"",
    ""Finance"",
    ""Health"",
    ""Policymaking"",
    ""Education"",
    ""Labor/Management"",
    ""Prosocial"",
    ""Other""
  ]",enum,Google sheet
3, Design,geography,Pick a country that this article is from.,Category,string,Google sheet
3, Design,source_WIP,Journal name,Free text,string,Google sheet
